2025-12-10 18:06:53.703 | INFO     | safer_v3.core.trainer | Epoch 21/50 (75.8s) - Train Loss: 55.8119, RMSE: 13.02 - Val Loss: 115.6021, RMSE: 22.28 - LR: 2.11e-04
2025-12-10 18:08:09.553 | INFO     | safer_v3.core.trainer | Epoch 22/50 (75.9s) - Train Loss: 54.7097, RMSE: 12.77 - Val Loss: 120.1443, RMSE: 22.69 - LR: 1.73e-04
2025-12-10 18:09:25.381 | INFO     | safer_v3.core.trainer | Epoch 23/50 (75.8s) - Train Loss: 52.2637, RMSE: 12.35 - Val Loss: 136.1392, RMSE: 24.20 - LR: 1.37e-04
2025-12-10 18:10:41.195 | INFO     | safer_v3.core.trainer | Epoch 24/50 (75.8s) - Train Loss: 52.1098, RMSE: 12.35 - Val Loss: 119.4894, RMSE: 22.35 - LR: 1.04e-04
2025-12-10 18:11:57.017 | INFO     | safer_v3.core.trainer | Epoch 25/50 (75.8s) - Train Loss: 50.1346, RMSE: 12.08 - Val Loss: 119.6378, RMSE: 22.57 - LR: 7.41e-05
2025-12-10 18:13:12.834 | INFO     | safer_v3.core.trainer | Epoch 26/50 (75.8s) - Train Loss: 50.2975, RMSE: 12.06 - Val Loss: 120.2625, RMSE: 22.37 - LR: 4.87e-05
2025-12-10 18:14:28.673 | INFO     | safer_v3.core.trainer | Epoch 27/50 (75.8s) - Train Loss: 50.0410, RMSE: 12.01 - Val Loss: 119.3436, RMSE: 22.29 - LR: 2.82e-05
2025-12-10 18:15:44.538 | INFO     | safer_v3.core.trainer | Epoch 28/50 (75.9s) - Train Loss: 49.3034, RMSE: 11.91 - Val Loss: 126.7625, RMSE: 23.60 - LR: 1.32e-05
2025-12-10 18:17:00.383 | INFO     | safer_v3.core.trainer | Epoch 29/50 (75.8s) - Train Loss: 49.3570, RMSE: 11.93 - Val Loss: 122.4234, RMSE: 22.89 - LR: 4.07e-06
2025-12-10 18:17:00.383 | INFO     | safer_v3.core.trainer | Early stopping triggered at epoch 29
2025-12-10 18:17:00.383 | INFO     | safer_v3.core.trainer | Training completed in 36.7 minutes
2025-12-10 18:17:00.384 | INFO     | safer_v3.core.trainer | Restored best model with RMSE: 19.4818
